Listed Company's English Name,Listed Company's Chinese Name,Stock Code,Listing Status,Director's English Name,Director's Chinese Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
CLP Holdings Limited,中電控股有限公司,00002,Current,MOORE Vernon Francis,莫偉龍,Independent Non Executive Director - A/F,,1997-03-07,2020-05-08
CLP Holdings Limited,中電控股有限公司,00002,Current,BISCHOF Rudolf,畢紹傅,Non Executive Director,,1997-09-05,2010-04-01
CLP Holdings Limited,中電控股有限公司,00002,Current,LEIGH John Andrew Harry,利約翰,Non Executive Director,,1997-02-10,
CLP Holdings Limited,中電控股有限公司,00002,Current,BOYCE Ian Duncan,貝思賢,Non Executive Director,,1999-11-19,2014-05-08
The Hong Kong and China Gas Company Limited,香港中華煤氣有限公司,00003,Current,LEE Ka Shing,李家誠,Non Executive Director,Chairman,1999-09-03,
The Hong Kong and China Gas Company Limited,香港中華煤氣有限公司,00003,Current,KWAN Yuk Choi,關育材,Executive Director,,1997-01-17,2013-02-01
The Hong Kong and China Gas Company Limited,香港中華煤氣有限公司,00003,Current,CHAN Wing Kin Alfred,陳永堅,Executive Director,Managing Director,1997-01-17,2022-06-03
The Wharf (Holdings) Limited,九龍倉集團有限公司,00004,Current,NG Tze Yuen,吳梓源,Non Executive Director,,1998-06-01,2009-06-08
HSBC Holdings plc,滙豐控股有限公司,00005,Current,GREEN Stephen Keith,葛霖,Executive Director,Chairman,1998-03-01,2010-12-03
HSBC Holdings plc,滙豐控股有限公司,00005,Current,MOFFAT Brian Scott,莫輝,Independent Non Executive Director - A/F,,1998-03-27,2008-05-30
HSBC Holdings plc,滙豐控股有限公司,00005,Current,CH'IEN Kuo Fung Raymond,錢果豐,Independent Non Executive Director,,1998-05-02,2007-05-25
HSBC Holdings plc,滙豐控股有限公司,00005,Current,FUNG Kwok Lun William,馮國綸,Independent Non Executive Director,,1998-05-02,2007-05-24
HSBC Holdings plc,滙豐控股有限公司,00005,Current,BUTLER Frederick Edward Robin,畢林,Independent Non Executive Director,,1998-05-02,2008-05-30
