Listed Company's English Name,Listed Company's Chinese Name,Stock Code,Listing Status,Director's English Name,Director's Chinese Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,CHOI Ping Chung,蔡炳中,Independent Non Executive Director,,2023-06-29,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,DOCHI Junko,土地順子,Independent Non Executive Director,,2020-06-23,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,FUKAYAMA Tomoharu,深山友晴,Executive Director,,2020-06-23,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,JIN Hua Shu,金華淑,Non Executive Director,,2021-06-25,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,LAI Yuk Kwong,黎玉光,Executive Director,,2017-06-23,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,LEE Ching Ming Adrian,李澄明,Independent Non Executive Director,,2016-10-01,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,MITSUFUJI Tomoyuki,三藤智之,Non Executive Director,Chairman,2021-06-25,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,SHING Mo Han Yvonne,盛慕嫻,Independent Non Executive Director - A/F,,2020-06-23,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,WEI Ai Guo,魏愛國,Executive Director,,2022-06-23,
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,TAKENAKA Daisuke,竹中大介,Executive Director,,2020-06-23,2023-06-29
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,FUNG Tony,馮興源,Executive Director,,2019-06-21,2021-08-31
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,HAYASHI Kenji,,Independent Non Executive Director,,2016-06-24,2021-06-25
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,LUK Mei Yan,陸美恩,Independent Non Executive Director - A/F,,2021-06-25,2021-06-25
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,MANGETSU Masaaki,万月雅明,Non Executive Director,,2017-06-23,2021-06-25
Aeon Credit Service (Asia) Company Limited,Aeon信貸財務(亞洲)有限公司,900,Current,KOH Yik Kung,高藝菎,Executive Director,,2001-06-21,2020-06-23
