香港交易所代号,股票简称,上市日期
0001,长和,1972年11月1日
0002,中电控股,-
0003,香港中华煤气,1960年4月11日
0004,九龙仓集团,-
0005,汇丰控股,1980年1月2日
0006,电能实业,-
0007,香港金融集团,2000年9月8日
0008,电讯盈科,1994年10月18日
0009,金奥国际,2001年9月12日
0010,恒隆集团,1972年10月12日
0011,恒生银行,1972年6月20日
0012,恒基地产,1981年7月23日
0013,和黄医药,2021年6月30日
0014,希慎兴业,1981年9月18日
0016,新鸿基地产,1972年9月8日
0017,新世界发展,1972年11月23日
0018,东方报业集团,1987年8月18日
0019,太古股份公司Ａ（太古A）,1959年4月14日
0020,商汤科技,2021年12月30日
0021,大中华地产控股,1973年1月2日
0022,茂盛控股,1972年12月14日
0023,东亚银行,1939年1月2日
0025,其士国际,1984年12月5日
0026,中华汽车,1962年1月15日
0027,银河娱乐,1991年10月7日
0028,天安,1987年3月18日
0029,达力集团,1973年1月25日
0030,万隆控股集团,1991年10月9日
0031,航天控股,1981年8月25日
0032,港通控股,1974年7月30日
0033,安山金控,2007年11月19日
0034,九龙建业,1995年7月4日
0035,远东发展,1972年9月21日
0036,远东控股国际,1973年2月12日
0037,远东酒店实业,1979年7月3日
0038,第一拖拉机股份,1997年6月23日
0039,中国北大荒,2001年1月16日
0040,金山科技 (前称金山工业),1984年7月2日
0041,鹰君,1972年10月20日
0042,东北电气,1995年7月6日
0045,大酒店,-
0046,科联系统,1998年5月18日
0048,中国汽车内饰,2010年9月29日
0050,香港小轮（集团）,-
0051,海港企业,1971年2月15日
0052,大快活集团,1991年10月9日
0053,国浩集团,1983年5月3日
0055,中星集团控股,1992年9月10日
0057,震雄集团,1991年10月22日
0058,新威国际,1999年9月3日
0059,天誉置业,1993年11月16日
0060,香港食品投资,1992年12月16日
0061,绿领控股,1999年7月6日
0062,载通,1961年5月1日
0063,中国烯谷集团,1986年2月26日
0064,结好控股,2002年6月6日
0065,弘海高新能源,2001年8月30日
0066,港铁公司,2000年10月5日
0069,香格里拉(亚洲),1993年6月17日
0070,金粤控股 （前称海王集团）,-
0071,美丽华酒店,1970年7月25日
0072,现代传播,2009年9月9日
0073,亚洲果业,2009年11月26日
0075,渝太地产,1984年11月12日
0076,谊砾控股,1984年9月24日
0077,进智公共交通,2004年4月15日
0078,富豪国际,1980年11月6日
0079,世纪建业,1993年7月8日
0080,中国新经济投资,2011年1月6日
0081,中国海外宏洋集团,1984年4月26日
0082,第一视频,1991年10月25日
0083,信和置业,1981年4月8日
0084,宝光实业,1972年10月2日
0085,中电华大科技,1997年7月25日
0086,新鸿基公司,1983年10月3日
